Mic,light,mQ135,temprature,humidity,situation
848,894,164,21,17,E
848,892,164,21,17,E
848,894,163,21,17,E
848,893,164,21,17,E
848,892,164,21,17,E
848,892,163,21,17,E
847,893,164,21,17,E
848,892,164,21,17,E
848,892,163,21,17,E
847,891,163,21,17,E
848,892,164,21,17,E
848,892,164,21,17,E
847,892,164,21,17,E
847,892,162,21,17,E
848,893,164,21,17,E
850,892,164,21,17,E
848,892,164,21,17,E
847,893,164,21,17,E
847,892,164,21,17,E
848,893,163,22,17,E
847,892,164,22,17,E
848,891,163,22,17,E
848,895,164,22,17,E
847,892,164,21,17,E
848,892,163,21,17,E
848,891,165,21,17,E
847,892,161,21,17,E
848,891,163,21,17,E
847,890,164,21,17,E
848,891,164,21,17,E
847,891,164,21,17,E
848,892,164,21,17,E
847,892,164,21,17,E
846,891,162,21,17,E
848,891,164,21,17,E
849,892,164,21,17,E
846,891,162,21,17,E
848,892,164,21,17,E
847,892,164,21,17,E
848,891,164,21,17,E
848,891,165,21,17,E
848,891,165,22,17,E
846,891,162,21,17,E
848,891,164,21,17,E
847,889,164,21,17,E
848,891,165,21,17,E
848,892,164,21,17,E
848,891,165,21,17,E
848,891,165,21,17,E
848,891,164,21,17,E
848,891,164,21,17,E
848,892,164,21,17,E
848,891,164,21,17,E
848,892,164,21,17,E
848,891,164,21,17,E
848,892,164,21,17,E
852,891,167,22,17,E
851,892,164,22,17,E
852,892,166,22,17,E
852,892,166,23,16,E
851,891,165,23,16,E
852,894,166,24,15,E
852,892,166,24,15,E
852,892,166,24,14,E
852,893,166,25,13,E
852,896,166,25,13,E
850,892,165,26,13,E
852,892,167,26,13,E
852,893,166,26,12,E
852,892,167,26,12,E
849,891,164,26,12,E
851,893,165,27,11,E
852,892,166,27,11,E
852,892,166,27,11,E
852,892,166,27,11,E
852,892,166,27,11,E
851,893,166,27,11,E
851,892,165,27,11,E
852,892,165,27,11,E
849,894,166,27,11,E
852,893,166,27,11,E
852,893,166,27,11,E
852,893,166,27,11,E
852,893,166,27,11,E
851,892,165,27,11,E
852,891,165,27,11,E
851,892,166,27,11,E
851,893,165,27,11,E
852,891,165,27,11,E
851,892,165,27,11,E
851,894,166,28,11,E
850,892,165,28,11,E
851,892,165,28,11,E
851,893,165,28,11,E
851,892,166,28,11,E
854,892,165,27,11,E
851,891,165,27,11,E
850,891,165,27,11,E
851,893,166,27,11,E
850,890,164,26,12,E
851,890,165,26,12,E
851,891,163,26,12,E
851,891,165,25,12,E
853,891,165,25,13,E
850,891,164,25,13,E
851,891,164,25,13,E
851,892,165,25,13,E
852,891,165,24,14,E
850,891,163,24,14,E
852,891,165,25,13,E
852,892,165,25,13,E
852,893,165,25,13,E
846,920,232,25,12,E
845,922,231,25,11,E
845,920,231,25,11,E
845,919,231,26,11,E
845,920,231,26,11,E
845,919,229,25,11,E
845,920,230,25,11,E
844,920,230,25,11,E
845,920,231,25,11,E
844,921,229,26,11,E
845,920,232,26,11,E
844,920,231,25,11,E
843,919,231,24,13,E
844,919,231,24,13,E
842,917,228,24,13,E
842,918,230,23,13,E
291,565,429,20,18,E
346,577,418,21,17,E
675,595,407,21,17,E
326,602,396,21,16,E
328,596,392,21,16,E
657,591,383,22,16,E
382,580,375,22,15,E
635,571,366,22,15,E
299,587,360,22,15,E
639,585,356,22,15,E
423,588,351,22,15,E
655,583,347,20,15,E
283,570,343,22,15,E
585,553,337,23,14,E
588,562,328,23,14,E
605,567,322,23,14,E
275,582,320,23,14,E
244,589,321,23,14,E
290,593,314,23,13,E
648,590,314,23,13,E
630,595,310,23,13,E
292,593,308,23,13,E
630,598,305,23,13,E
251,597,301,23,13,E
621,599,303,23,13,E
625,598,303,23,13,E
291,600,300,23,13,E
278,589,296,23,13,E
617,588,297,23,13,E
282,591,296,23,13,E
235,588,292,23,13,E
436,588,290,23,13,E
625,589,286,23,13,E
542,590,286,23,13,E
273,588,286,23,13,E
590,588,283,23,13,E
236,590,279,23,13,E
273,589,278,23,13,E
283,587,273,23,13,E
442,588,274,23,13,E
626,591,272,23,13,E
608,590,272,23,13,E
469,591,269,23,13,E
603,590,268,23,13,E
588,592,267,23,13,E
486,592,265,23,13,E
616,589,264,23,13,E
255,592,262,23,13,E
384,593,259,23,13,E
518,594,258,23,13,E
259,592,257,23,13,E
447,594,256,23,13,E
